n16,n17,o19,cell-volume,cellnumber,x,y,z
673750000000.0,88574000.0,183700000000.0,2.8398e-08,55064,0.014057,-0.25866,0.89375
664540000000.0,87126000.0,182270000000.0,3.3003e-08,56309,0.0075097,-0.25917,0.89565
686330000000.0,90382000.0,185490000000.0,2.7953e-08,56310,0.018823,-0.25881,0.89241
693030000000.0,91528000.0,185820000000.0,2.3997e-08,56312,0.017304,-0.25853,0.89451
665850000000.0,87211000.0,183340000000.0,3.3118e-08,56313,0.016785,-0.2586,0.88995
701970000000.0,92978000.0,186540000000.0,9.3217e-09,56314,0.016598,-0.25836,0.89705
704420000000.0,93315000.0,186960000000.0,8.4786e-09,56315,0.019114,-0.25813,0.89574
697540000000.0,92287000.0,185880000000.0,8.663e-09,56317,0.013955,-0.2584,0.89827
694110000000.0,91708000.0,185370000000.0,8.1562e-09,56322,0.011232,-0.25833,0.89931
686320000000.0,90550000.0,184720000000.0,2.0319e-08,56323,0.01212,-0.25844,0.8971
683120000000.0,89987000.0,184230000000.0,2.1557e-08,56324,0.0095511,-0.25856,0.89791
685350000000.0,90608000.0,184510000000.0,1.1794e-08,56328,0.013072,-0.25657,0.89619
660980000000.0,86797000.0,181810000000.0,1.988e-08,56329,0.0098096,-0.25689,0.89455
664080000000.0,87270000.0,182420000000.0,1.6101e-08,56330,0.013094,-0.25682,0.89292
641990000000.0,83875000.0,179910000000.0,2.2209e-08,56331,0.010436,-0.25732,0.89072
690130000000.0,91271000.0,185210000000.0,1.1744e-08,56332,0.015689,-0.25656,0.89522
700960000000.0,93001000.0,186230000000.0,5.3375e-09,56333,0.0152,-0.25649,0.89758
674720000000.0,88838000.0,183860000000.0,1.6091e-08,56334,0.016606,-0.25676,0.89208
603320000000.0,77974000.0,175780000000.0,3.6289e-08,56341,0.0094068,-0.25914,0.88083
675320000000.0,88474000.0,184950000000.0,2.6059e-08,56414,0.02306,-0.25893,0.88549
686370000000.0,90338000.0,185810000000.0,1.7665e-08,56418,0.02339,-0.25796,0.88811
670380000000.0,87497000.0,185480000000.0,3.0903e-08,56438,0.026425,-0.25892,0.87157
691520000000.0,90869000.0,187330000000.0,2.6843e-08,56439,0.029035,-0.25856,0.87697
686290000000.0,90083000.0,186560000000.0,2.642e-08,56440,0.027802,-0.25856,0.87974
670730000000.0,87700000.0,184750000000.0,2.6905e-08,56442,0.024517,-0.25896,0.88086
666040000000.0,87156000.0,183650000000.0,2.6262e-08,56444,0.020423,-0.25853,0.88643
658120000000.0,86248000.0,182200000000.0,1.1359e-08,56445,0.016814,-0.25687,0.88862
650710000000.0,85153000.0,181240000000.0,1.7857e-08,56446,0.013902,-0.25714,0.88949
641080000000.0,83603000.0,180340000000.0,2.1849e-08,56447,0.015264,-0.25743,0.88553
628110000000.0,81749000.0,178510000000.0,2.2321e-08,56448,0.011508,-0.2576,0.88678
620200000000.0,80574000.0,177750000000.0,2.7945e-08,56449,0.01222,-0.25783,0.88296
650350000000.0,84853000.0,181800000000.0,1.9657e-08,56450,0.019332,-0.25728,0.88344
635690000000.0,82722000.0,179930000000.0,1.9073e-08,56451,0.016331,-0.25756,0.88225
660250000000.0,86485000.0,182610000000.0,1.4083e-08,56452,0.018822,-0.25693,0.88695
658770000000.0,85918000.0,183220000000.0,3.236e-08,56456,0.021568,-0.25888,0.8823
683280000000.0,89729000.0,185880000000.0,1.9118e-08,56457,0.025593,-0.25789,0.88322
642210000000.0,83613000.0,181010000000.0,1.8669e-08,56458,0.019165,-0.2574,0.87958
703400000000.0,92621000.0,189080000000.0,2.8617e-08,57369,0.031556,-0.25858,0.87046
703170000000.0,92620000.0,188850000000.0,2.8283e-08,57370,0.031077,-0.25879,0.87389
725660000000.0,96116000.0,191200000000.0,1.7302e-08,57379,0.033825,-0.2583,0.87456
717700000000.0,94935000.0,190170000000.0,2.2744e-08,57381,0.032345,-0.25842,0.8767
702510000000.0,92429000.0,189240000000.0,2.7535e-08,57383,0.031283,-0.25865,0.86738
709520000000.0,93702000.0,189260000000.0,1.5983e-08,57388,0.031138,-0.25675,0.87243
684980000000.0,89831000.0,186830000000.0,2.0706e-08,57389,0.028411,-0.25722,0.86981
682060000000.0,89436000.0,186260000000.0,1.825e-08,57390,0.027877,-0.25715,0.87344
612270000000.0,79526000.0,176520000000.0,2.2793e-08,57408,0.0081888,-0.25747,0.87785
603090000000.0,77974000.0,175610000000.0,3.4992e-08,57409,0.0077819,-0.25896,0.87533
615810000000.0,79613000.0,177990000000.0,2.9833e-08,57410,0.014855,-0.25918,0.87764
613790000000.0,79679000.0,176640000000.0,2.1504e-08,57411,0.0085834,-0.25779,0.88509
590870000000.0,76248000.0,173620000000.0,3.1655e-08,57436,0.0025435,-0.2592,0.87958
596950000000.0,77088000.0,174140000000.0,2.8688e-08,57439,0.00030934,-0.25891,0.87724
589160000000.0,75976000.0,173120000000.0,3.3368e-08,57440,-7.9367e-05,-0.2591,0.8821
589390000000.0,76041000.0,173060000000.0,3.2996e-08,57441,-0.0024784,-0.25923,0.87931
616410000000.0,79859000.0,178060000000.0,2.9819e-08,57457,0.013733,-0.25899,0.87097
609280000000.0,78852000.0,176780000000.0,3.3066e-08,57458,0.01066,-0.25886,0.87241
618980000000.0,80314000.0,178320000000.0,3.2649e-08,57468,0.012819,-0.25898,0.86763
617390000000.0,80152000.0,177520000000.0,1.4895e-08,57469,0.01012,-0.25859,0.86904
626250000000.0,81086000.0,179800000000.0,2.9513e-08,57471,0.017721,-0.25901,0.87091
594320000000.0,76796000.0,173250000000.0,2.0642e-08,57474,-0.0042755,-0.25763,0.88474
601020000000.0,77900000.0,174220000000.0,1.7933e-08,57475,-0.00228,-0.2575,0.88224
652790000000.0,85366000.0,180570000000.0,3.6836e-08,57478,0.00066516,-0.25893,0.89567
606640000000.0,78711000.0,175430000000.0,2.9428e-08,57479,0.0044587,-0.25787,0.88589
599190000000.0,77736000.0,174230000000.0,2.8508e-08,57492,-0.0039817,-0.25883,0.87654
603090000000.0,78240000.0,174880000000.0,2.1378e-08,57497,0.0027741,-0.2576,0.88242
599300000000.0,77610000.0,174180000000.0,1.9392e-08,57498,5.2645e-05,-0.2576,0.88499
605170000000.0,78414000.0,174660000000.0,1.6674e-08,57499,-0.0021355,-0.25744,0.8875
603860000000.0,78082000.0,175110000000.0,2.5148e-08,57503,0.0037645,-0.25868,0.87644
