element,isotope,state,cooling time,isotope % dose,pathway,pathway % dose,Scenario,Spectrum,Material,Dose threshold
Na,24,,24 h,99.95901296,"Al27 -(n,a)-> Na24",98.53059867,DT1,500MW_First_Wall,Al-6061,99
Na,24,,24 h,99.95901296,"Mg24 -(n,p)-> Na24",1.421417164,DT1,500MW_First_Wall,Al-6061,99
Mn,54,,11.6 d,45.85802117,"Mn55 -(n,2n)-> Mn54",39.53511721,DT1,500MW_First_Wall,Al-6061,99
Zn,65,,11.6 d,17.53756777,"Zn66 -(n,2n)-> Zn65",11.02920099,DT1,500MW_First_Wall,Al-6061,99
Na,24,,11.6 d,11.01703737,"Al27 -(n,a)-> Na24",10.8596039,DT1,500MW_First_Wall,Al-6061,99
Sc,48,,11.6 d,6.970974831,"Ti48 -(n,p)-> Sc48",6.956266075,DT1,500MW_First_Wall,Al-6061,99
Zn,65,,11.6 d,17.53756777,"Zn64 -(n,g)-> Zn65",6.514680298,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,11.6 d,9.96137024,"Ti46 -(n,p)-> Sc46",6.510751589,DT1,500MW_First_Wall,Al-6061,99
Mn,54,,11.6 d,45.85802117,"Fe54 -(n,p)-> Mn54",6.335285624,DT1,500MW_First_Wall,Al-6061,99
Cr,51,,11.6 d,4.016297483,"Cr52 -(n,2n)-> Cr51",3.286415742,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,11.6 d,9.96137024,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",2.430574339,DT1,500MW_First_Wall,Al-6061,99
Co,60,,11.6 d,3.778177079,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",2.078941938,DT1,500MW_First_Wall,Al-6061,99
Co,60,,11.6 d,3.778177079,"Cu63 -(n,a)-> Co60",1.69942405,DT1,500MW_First_Wall,Al-6061,99
Sc,46,,11.6 d,9.96137024,"Ti47 -(n,np)-> Sc46",0.901504007,DT1,500MW_First_Wall,Al-6061,99
