z,n,symbol,half_life_sec,zaid,formula
1,0,H,,1001,H1
1,1,H,,1002,H2
1,2,H,388781328.0069735,1003,H3
1,3,H,,1004,H4
1,4,H,8.608258774931805e-23,1005,H5
1,5,H,2.9434691294928113e-22,1006,H6
1,6,H,5.069307945237619e-21,1007,H7
2,1,He,,2003,He3
2,2,He,,2004,He4
2,3,He,7.0407054794966935e-22,2005,He5
2,4,He,0.8067,2006,He6
2,5,He,3.041584767142572e-21,2007,He7
2,6,He,0.1191,2008,He8
2,7,He,,2009,He9
2,8,He,1.5207923835712858e-21,2010,He10
3,1,Li,,3004,Li4
3,2,Li,3.709249716027526e-22,3005,Li5
3,3,Li,,3006,Li6
3,4,Li,,3007,Li7
3,5,Li,0.8399,3008,Li8
3,6,Li,0.1783,3009,Li9
3,7,Li,,3010,Li10
3,8,Li,0.00875,3011,Li11
3,9,Li,,3012,Li12
4,2,Be,4.959105598602019e-21,4006,Be6
4,3,Be,4598208.0,4007,Be7
4,4,Be,8.190982317260066e-17,4008,Be8
4,5,Be,,4009,Be9
4,6,Be,47650958221633.92,4010,Be10
4,7,Be,13.76,4011,Be11
4,8,Be,0.02146,4012,Be12
4,9,Be,2.7e-21,4013,Be13
4,10,Be,0.00435,4014,Be14
4,11,Be,7.866167501230788e-22,4015,Be15
4,12,Be,5.702971438392321e-22,4016,Be16
5,2,B,5.695851623862494e-22,5007,B7
5,3,B,0.77,5008,B8
5,4,B,8.448846575396032e-19,5009,B9
5,5,B,,5010,B10
5,6,B,,5011,B11
5,7,B,0.0202,5012,B12
5,8,B,0.01733,5013,B13
5,9,B,0.0125,5014,B14
5,10,B,0.00993,5015,B15
5,11,B,4.5623771507138576e-21,5016,B16
5,12,B,0.00508,5017,B17
5,13,B,,5018,B18
5,14,B,0.00292,5019,B19
5,15,B,9.124754301427716e-22,5020,B20
5,16,B,7.603961917856429e-22,5021,B21
6,2,C,3.509520885164506e-21,6008,C8
6,3,C,0.1265,6009,C9
6,4,C,19.29,6010,C10
6,5,C,1221.84,6011,C11
6,6,C,,6012,C12
6,7,C,,6013,C13
6,8,C,179874478055.1744,6014,C14
6,9,C,2.449,6015,C15
6,10,C,0.747,6016,C16
6,11,C,0.193,6017,C17
6,12,C,0.092,6018,C18
6,13,C,0.0463,6019,C19
6,14,C,0.0163,6020,C20
6,16,C,0.0061,6022,C22
7,3,N,1.8249508602855427e-22,7010,N10
7,4,N,5.496839940619106e-22,7011,N11
7,5,N,0.011,7012,N12
7,6,N,597.9,7013,N13
7,7,N,,7014,N14
7,8,N,,7015,N15
7,9,N,7.13,7016,N16
7,10,N,4.173,7017,N17
7,11,N,0.619,7018,N18
7,12,N,0.336,7019,N19
7,13,N,0.1344,7020,N20
7,14,N,0.084,7021,N21
7,15,N,0.023,7022,N22
7,16,N,0.0141,7023,N23
7,17,N,5.2e-08,7024,N24
8,3,O,3.5095208851645054e-22,8011,O11
8,4,O,6.336634931547025e-21,8012,O12
8,5,O,0.00858,8013,O13
8,6,O,70.606,8014,O14
8,7,O,122.24,8015,O15
8,8,O,,8016,O16
8,9,O,,8017,O17
8,10,O,,8018,O18
8,11,O,26.88,8019,O19
8,12,O,13.51,8020,O20
8,13,O,3.42,8021,O21
8,14,O,2.25,8022,O22
8,15,O,0.097,8023,O23
8,16,O,0.072,8024,O24
8,17,O,,8025,O25
8,18,O,4.5e-12,8026,O26
9,4,F,4.5172050997166895e-22,9013,F13
9,5,F,5.013601264520724e-22,9014,F14
9,6,F,6.912692652596753e-22,9015,F15
9,7,F,1.1405942876784644e-20,9016,F16
9,8,F,64.49,9017,F17
9,9,F,6586.2,9018,F18
9,10,F,,9019,F19
9,11,F,11.07,9020,F20
9,12,F,4.158,9021,F21
9,13,F,4.23,9022,F22
9,14,F,2.23,9023,F23
9,15,F,0.382,9024,F24
9,16,F,0.08,9025,F25
9,17,F,0.0082,9026,F26
9,18,F,0.005,9027,F27
9,19,F,4.6e-20,9028,F28
9,20,F,0.0025,9029,F29
9,21,F,,9030,F30
9,22,F,,9031,F31
10,5,Ne,7.732842628328571e-22,10015,Ne15
10,6,Ne,5.702971438392322e-21,10016,Ne16
10,7,Ne,0.1092,10017,Ne17
10,8,Ne,1.672,10018,Ne18
10,9,Ne,17.22,10019,Ne19
10,10,Ne,,10020,Ne20
10,11,Ne,,10021,Ne21
10,12,Ne,,10022,Ne22
10,13,Ne,37.25,10023,Ne23
10,14,Ne,202.8,10024,Ne24
10,15,Ne,0.602,10025,Ne25
10,16,Ne,0.197,10026,Ne26
10,17,Ne,0.0315,10027,Ne27
10,18,Ne,0.02,10028,Ne28
10,19,Ne,0.015,10029,Ne29
10,20,Ne,0.0073,10030,Ne30
10,21,Ne,0.0034,10031,Ne31
10,22,Ne,0.0035,10032,Ne32
10,23,Ne,1.8e-07,10033,Ne33
10,24,Ne,6e-08,10034,Ne34
11,6,Na,,11017,Na17
11,7,Na,2.2811885753569284e-21,11018,Na18
11,8,Na,1.1405942876784644e-20,11019,Na19
11,9,Na,0.4479,11020,Na20
11,10,Na,22.49,11021,Na21
11,11,Na,82104810.00069347,11022,Na22
11,12,Na,,11023,Na23
11,13,Na,53841.6,11024,Na24
11,14,Na,59.1,11025,Na25
11,15,Na,1.07128,11026,Na26
11,16,Na,0.301,11027,Na27
11,17,Na,0.0305,11028,Na28
11,18,Na,0.0441,11029,Na29
11,19,Na,0.048,11030,Na30
11,20,Na,0.017,11031,Na31
11,21,Na,0.0132,11032,Na32
11,22,Na,0.008,11033,Na33
11,23,Na,0.0055,11034,Na34
11,24,Na,0.0018,11035,Na35
11,25,Na,1.8e-07,11036,Na36
11,26,Na,6e-08,11037,Na37
12,6,Mg,3.8019809589282144e-21,12018,Mg18
12,7,Mg,4.002e-12,12019,Mg19
12,8,Mg,0.0904,12020,Mg20
12,9,Mg,0.122,12021,Mg21
12,10,Mg,3.8755,12022,Mg22
12,11,Mg,11.3046,12023,Mg23
12,12,Mg,,12024,Mg24
12,13,Mg,,12025,Mg25
12,14,Mg,,12026,Mg26
12,15,Mg,567.48,12027,Mg27
12,16,Mg,75294.0,12028,Mg28
12,17,Mg,1.3,12029,Mg29
12,18,Mg,0.335,12030,Mg30
12,19,Mg,0.27,12031,Mg31
12,20,Mg,0.086,12032,Mg32
12,21,Mg,0.0905,12033,Mg33
12,22,Mg,0.02,12034,Mg34
12,23,Mg,0.0113,12035,Mg35
12,24,Mg,0.0076,12036,Mg36
12,25,Mg,0.008,12037,Mg37
12,26,Mg,,12038,Mg38
12,27,Mg,1.8e-07,12039,Mg39
12,28,Mg,,12040,Mg40
13,8,Al,3.5e-08,13021,Al21
13,9,Al,0.0911,13022,Al22
13,10,Al,0.446,13023,Al23
13,11,Al,2.053,13024,Al24
13,12,Al,7.183,13025,Al25
13,13,Al,22626315923782.465,13026,Al26
13,14,Al,,13027,Al27
13,15,Al,134.7,13028,Al28
13,16,Al,393.6,13029,Al29
